# Fixture-level skips allowed by tools/toolchain/diff-backend.sh.
# Format: fixture<TAB>reason
# A listed fixture may still compare successfully on a host/toolchain that supports it.
grant-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
granttab-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
grantcascade-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
endpoint-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
byteview-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
elf-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
arc-pkt-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
arc-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
scan-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
time-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
vqfault-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
synclock-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
mutex-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
ipc-result-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
resacct-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
procmem-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
attenuate-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
heapfree-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
showcase-test	current host/corpus C build gap; additional skipped fixtures remain coverage regressions
fuzz-atomics-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-task-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-lowering-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-syntax-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-cancel-lowering-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-branch-lowering-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-loop-lowering-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-ufcs-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-safe-borrow-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-await-expr-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-dyn-ifcond-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-await-arr-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-try-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-return-inregion-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-borrow-captured-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-nested-await-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-loop-breakcont-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-nested-locals-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-loop-shadow-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-multi-construct-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-shadow-pattern-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-switch-pattern-sema-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-arm-return-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
fuzz-async-capture-shadow-test	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
sched-difftest	current LLVM backend unsupported fixture; additional skipped fixtures remain coverage regressions
